Company or Institution Name,Compensation - Overtime Pay,[Optional] Briefly describe your position,Timestamp,Compensation - Most recent annual yearly raise (%),Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Company Detail - Approximate Company Size,Company Details - public/private/start-up/ subsidiary of ,Compensation - Annual Base Salary/Pay,Compensation - Sign on Bonus Value,What country do you work in?,Where is the closest major city or hub?,List other relevant and recognized certifications,[Optional] Company Review,Compensation - Annual Target Bonus ($),Biotech sub industry?,Role / Title of current position,Years of Experience,What degrees do you have?,What degrees do you have? ,Compensation - Stock Options,Survey Feedback,Compensation - Annual Equity/Stock Option,Compensation - Annual Equity,Compensation - Retirement Percent Match (free text),Highest achieved Formal Education,[OPTIONAL] Sign on - Relocation Assistance Total Value,Where are you located?,Compensation - Sign on Stock/Equity Options,"[Optional] Work Life Balance - On average, how many hours do you work per week",Year,Hub Mapped,Hub Count,Hub Rank
,,,2022-05-08,,,,50-200,Private,160000.0,10000,,Los Angeles,,,16000,Consulting,Senior Manager,6,Masters or Equivalent,"","","","","","","","","","","",2022,Los Angeles,39,2412.0
,,,2022-05-08,,,,50-200,Public,55000.0,0,,San Diego,,,4400,Pharmaceutical (including “big pharma”),Research Associate I,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-08,,,,5000+,Academia/College/Universities,28000.0,0,,Illinois,,,Not Applicable/None,Academia/Research,Researcher 1,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Wuxi Biologics,,,2022-05-08,,,,1000-5000,Public,72800.0,0,,New Jersey,,,5824,Pharmaceutical (including “big pharma”),Manufacturing technician III,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,New Jersey,21,2464.0
Abbvie,,,2022-05-08,,,,5000+,Public,120000.0,7000,,Near boston,,,8%,Pharmaceutical (including “big pharma”),Senior scientist I,0,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,1-50,Start-up,140000.0,0,,Toronto,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Software Engineer (DevOps),20,Associate’s Degree or Equivalent,"","","","","","","","","","","",2022,Toronto,16,2502.5
,,,2022-05-08,,,,1000-5000,Private,82000.0,0,,Bay Area,,,12.50%,Pharmaceutical (including “big pharma”),Research Associate II,4,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,1000-5000,Public,140000.0,15000,,Seattle,,,11000,Medical Devices,Bioinformatics Scientist I,1,PhD or Equivalent,"","","","","","","","","","","",2022,Seattle,56,2316.5
,,,2022-05-08,,,,50-200,Start-up,140000.0,0,,Seattle,,,21000,Academia/Research,Sr. Scientist,4,PhD or Equivalent,"","","","","","","","","","","",2022,Seattle,56,2316.5
,,,2022-05-08,,,,5000+,Private,54745.0,0,,NJ,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Contract Assistant Scientist,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,New Jersey,21,2464.0
,,,2022-05-08,,,,200-1000,Public,68000.0,0,,San Diego,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Research Associate II,2,Masters or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-08,,,,1-50,Private,63648.0,0,,"Santa Barbara, CA",,,Not Applicable/None,Medical Devices,Head of Production,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Illumina ,,,2022-05-08,,,,5000+,Public,103000.0,0,,San Diego,,,8240,Medical Devices,Scientist I ,0,PhD or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
Pact Pharma,,,2022-05-08,,,,50-200,Private,131200.0,2000,,South San Francisco,,,10,Pharmaceutical (including “big pharma”),Scientist 1,13,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
Intellia Therapeutics,,,2022-05-08,,,,200-1000,Public,100000.0,0,,Boston,,,10000,Pharmaceutical (including “big pharma”),Associate Scientist,4,Masters or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,5000+,Public,51500.0,0,,"Kansas City, MO",,,Not Applicable/None,Pharmaceutical (including “big pharma”),Associate Scientist II,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,1-50,Start-up,155000.0,0,,San Francisco Bay Area,,,Not Applicable/None,Academia/Research,Bioinformatics Scientist,1,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,5000+,Public,72000.0,0,,RDU,,,7200,Pharmaceutical (including “big pharma”),Associate Process Engineer,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
