OCC_CODE,REPORT_DATE,NAICS,NAICS_TITLE,TOT_EMP
29-1069,2004-05-01,325400,Pharmaceutical and Medicine Manufacturing,80
29-1069,2004-05-01,424200,Drugs and Druggists' Sundries Merchant Wholesalers,140
29-1069,2004-05-01,524100,Insurance Carriers,260
29-1069,2004-05-01,541500,Computer Systems Design and Related Services,0
29-1069,2004-05-01,541600,"Management, Scientific, and Technical Consulting Services",0
29-1069,2004-05-01,541700,Scientific Research and Development Services,170
29-1069,2004-05-01,551100,Management of Companies and Enterprises,850
29-1069,2004-05-01,561100,Office Administrative Services,1150
29-1069,2004-05-01,561300,Employment Services,2370
29-1069,2004-05-01,611100,Elementary and Secondary Schools,70
29-1069,2004-05-01,611300,"Colleges, Universities, and Professional Schools",8410
29-1069,2004-05-01,621100,Offices of Physicians,66570
29-1069,2004-05-01,621300,Offices of Other Health Practitioners,660
29-1069,2004-05-01,621400,Outpatient Care Centers,5210
29-1069,2004-05-01,621500,Medical and Diagnostic Laboratories,2160
29-1069,2004-05-01,621600,Home Health Care Services,0
29-1069,2004-05-01,621900,Other Ambulatory Health Care Services,420
29-1069,2004-05-01,622100,General Medical and Surgical Hospitals,48900
29-1069,2004-05-01,622200,Psychiatric and Substance Abuse Hospitals,300
29-1069,2004-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,1710
29-1069,2004-05-01,623100,Nursing Care Facilities,90
29-1069,2004-05-01,624100,Individual and Family Services,40
29-1069,2004-05-01,999100,Federal Executive Branch,19250
29-1069,2004-05-01,999200,State Government (OES designation),1270
29-1069,2004-05-01,999300,Local Government (OES designation),1580
29-1069,2004-11-01,424200,Drugs and Druggists' Sundries Merchant Wholesalers,120
29-1069,2004-11-01,446100,Health and Personal Care Stores,0
29-1069,2004-11-01,524100,Insurance Carriers,250
29-1069,2004-11-01,541500,Computer Systems Design and Related Services,70
29-1069,2004-11-01,541600,"Management, Scientific, and Technical Consulting Services",0
29-1069,2004-11-01,541700,Scientific Research and Development Services,310
29-1069,2004-11-01,551100,Management of Companies and Enterprises,1210
29-1069,2004-11-01,561100,Office Administrative Services,940
29-1069,2004-11-01,561300,Employment Services,2280
29-1069,2004-11-01,611100,Elementary and Secondary Schools,70
29-1069,2004-11-01,611300,"Colleges, Universities, and Professional Schools",9210
29-1069,2004-11-01,621100,Offices of Physicians,74950
29-1069,2004-11-01,621300,Offices of Other Health Practitioners,940
29-1069,2004-11-01,621400,Outpatient Care Centers,5360
29-1069,2004-11-01,621500,Medical and Diagnostic Laboratories,1890
29-1069,2004-11-01,621600,Home Health Care Services,110
29-1069,2004-11-01,621900,Other Ambulatory Health Care Services,330
29-1069,2004-11-01,622100,General Medical and Surgical Hospitals,50770
29-1069,2004-11-01,622200,Psychiatric and Substance Abuse Hospitals,450
29-1069,2004-11-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,1650
29-1069,2004-11-01,623100,Nursing Care Facilities,110
29-1069,2004-11-01,623200,"Residential Mental Retardation, Mental Health and Substance Abuse Facilities",0
29-1069,2004-11-01,624100,Individual and Family Services,60
29-1069,2004-11-01,999100,Federal Executive Branch ,19690
29-1069,2004-11-01,999200,State Government (OES designation),950
29-1069,2004-11-01,999300,Local Government (OES designation),1580
29-1069,2005-05-01,424200,Drugs and Druggists' Sundries Merchant Wholesalers,150
29-1069,2005-05-01,446100,Health and Personal Care Stores,90
29-1069,2005-05-01,524100,Insurance Carriers,240
29-1069,2005-05-01,541500,Computer Systems Design and Related Services,70
29-1069,2005-05-01,541600,"Management, Scientific, and Technical Consulting Services",0
29-1069,2005-05-01,541700,Scientific Research and Development Services,360
29-1069,2005-05-01,551100,Management of Companies and Enterprises,830
29-1069,2005-05-01,561100,Office Administrative Services,0
29-1069,2005-05-01,561300,Employment Services,2200
29-1069,2005-05-01,611100,Elementary and Secondary Schools,60
29-1069,2005-05-01,611300,"Colleges, Universities, and Professional Schools",8020
29-1069,2005-05-01,621100,Offices of Physicians,80640
29-1069,2005-05-01,621300,Offices of Other Health Practitioners,1120
29-1069,2005-05-01,621400,Outpatient Care Centers,6420
29-1069,2005-05-01,621500,Medical and Diagnostic Laboratories,3170
29-1069,2005-05-01,621600,Home Health Care Services,120
29-1069,2005-05-01,621900,Other Ambulatory Health Care Services,530
29-1069,2005-05-01,622100,General Medical and Surgical Hospitals,50750
29-1069,2005-05-01,622200,Psychiatric and Substance Abuse Hospitals,440
29-1069,2005-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,1820
29-1069,2005-05-01,623100,Nursing Care Facilities,100
29-1069,2005-05-01,623200,"Residential Mental Retardation, Mental Health and Substance Abuse Facilities",30
29-1069,2005-05-01,624100,Individual and Family Services,80
29-1069,2005-05-01,999100,Federal Executive Branch,19620
29-1069,2005-05-01,999200,State Government (OES designation),940
29-1069,2005-05-01,999300,Local Government (OES designation),1540
29-1069,2006-05-01,424200,Drugs and Druggists' Sundries Merchant Wholesalers,0
29-1069,2006-05-01,446100,Health and Personal Care Stores,0
29-1069,2006-05-01,524100,Insurance Carriers,200
29-1069,2006-05-01,541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",0
29-1069,2006-05-01,541300,"Architectural, Engineering, and Related Services",0
29-1069,2006-05-01,541500,Computer Systems Design and Related Services,0
29-1069,2006-05-01,541600,"Management, Scientific, and Technical Consulting Services",0
29-1069,2006-05-01,541700,Scientific Research and Development Services,480
29-1069,2006-05-01,551100,Management of Companies and Enterprises,720
29-1069,2006-05-01,561100,Office Administrative Services,390
29-1069,2006-05-01,561300,Employment Services,1610
29-1069,2006-05-01,611100,Elementary and Secondary Schools,60
29-1069,2006-05-01,611300,"Colleges, Universities, and Professional Schools",10870
29-1069,2006-05-01,621100,Offices of Physicians,92050
29-1069,2006-05-01,621300,Offices of Other Health Practitioners,1560
29-1069,2006-05-01,621400,Outpatient Care Centers,5400
29-1069,2006-05-01,621500,Medical and Diagnostic Laboratories,4160
29-1069,2006-05-01,621600,Home Health Care Services,310
29-1069,2006-05-01,621900,Other Ambulatory Health Care Services,270
29-1069,2006-05-01,622100,General Medical and Surgical Hospitals,61530
29-1069,2006-05-01,622200,Psychiatric and Substance Abuse Hospitals,530
29-1069,2006-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,2180
29-1069,2006-05-01,623100,Nursing Care Facilities,100
29-1069,2006-05-01,624100,Individual and Family Services,90
29-1069,2006-05-01,711200,Spectator Sports,30
29-1069,2006-05-01,999100,Federal Executive Branch (OES designation),22810
29-1069,2006-05-01,999200,State Government (OES designation),1110
29-1069,2006-05-01,999300,Local Government (OES designation),1710
29-1069,2007-05-01,524100,Insurance Carriers,150
29-1069,2007-05-01,541500,Computer Systems Design and Related Services,40
29-1069,2007-05-01,541600,"Management, Scientific, and Technical Consulting Services",150
29-1069,2007-05-01,541700,Scientific Research and Development Services,620
29-1069,2007-05-01,551100,Management of Companies and Enterprises,680
29-1069,2007-05-01,561100,Office Administrative Services,340
29-1069,2007-05-01,561300,Employment Services,1090
29-1069,2007-05-01,611100,Elementary and Secondary Schools,70
29-1069,2007-05-01,611300,"Colleges, Universities, and Professional Schools",10490
29-1069,2007-05-01,621100,Offices of Physicians,114010
29-1069,2007-05-01,621300,Offices of Other Health Practitioners,2180
29-1069,2007-05-01,621400,Outpatient Care Centers,5360
29-1069,2007-05-01,621500,Medical and Diagnostic Laboratories,4350
29-1069,2007-05-01,621600,Home Health Care Services,290
29-1069,2007-05-01,621900,Other Ambulatory Health Care Services,380
29-1069,2007-05-01,622100,General Medical and Surgical Hospitals,66480
29-1069,2007-05-01,622200,Psychiatric and Substance Abuse Hospitals,660
29-1069,2007-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,2140
29-1069,2007-05-01,623100,Nursing Care Facilities,140
29-1069,2007-05-01,624100,Individual and Family Services,50
29-1069,2007-05-01,711200,Spectator Sports,30
29-1069,2007-05-01,999100,Federal Executive Branch (OES designation),24140
29-1069,2007-05-01,999200,State Government (OES designation),1100
29-1069,2007-05-01,999300,Local Government (OES designation),1780
29-1069,2008-05-01,325400,Pharmaceutical and Medicine Manufacturing,60
29-1069,2008-05-01,524100,Insurance Carriers,140
29-1069,2008-05-01,541300,"Architectural, Engineering, and Related Services",0
29-1069,2008-05-01,541600,"Management, Scientific, and Technical Consulting Services",220
29-1069,2008-05-01,541700,Scientific Research and Development Services,890
29-1069,2008-05-01,551100,Management of Companies and Enterprises,540
29-1069,2008-05-01,561100,Office Administrative Services,0
29-1069,2008-05-01,561200,Facilities Support Services,40
29-1069,2008-05-01,561300,Employment Services,960
29-1069,2008-05-01,611100,Elementary and Secondary Schools,50
29-1069,2008-05-01,611300,"Colleges, Universities, and Professional Schools",10810
29-1069,2008-05-01,621100,Offices of Physicians,133530
29-1069,2008-05-01,621200,Offices of Dentists,0
29-1069,2008-05-01,621300,Offices of Other Health Practitioners,2340
29-1069,2008-05-01,621400,Outpatient Care Centers,5910
29-1069,2008-05-01,621500,Medical and Diagnostic Laboratories,4820
29-1069,2008-05-01,621600,Home Health Care Services,0
29-1069,2008-05-01,621900,Other Ambulatory Health Care Services,330
29-1069,2008-05-01,622100,General Medical and Surgical Hospitals,69700
29-1069,2008-05-01,622200,Psychiatric and Substance Abuse Hospitals,690
29-1069,2008-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,2090
29-1069,2008-05-01,623100,Nursing Care Facilities,150
29-1069,2008-05-01,623200,"Residential Mental Retardation, Mental Health and Substance Abuse Facilities",40
29-1069,2008-05-01,624100,Individual and Family Services,40
29-1069,2008-05-01,711200,Spectator Sports,30
29-1069,2008-05-01,812100,Personal Care Services,90
29-1069,2008-05-01,999100,Federal Executive Branch (OES Designation),24940
29-1069,2008-05-01,999200,State Government (OES Designation),1250
29-1069,2008-05-01,999300,Local Government (OES Designation),1990
29-1069,2009-05-01,325400,Pharmaceutical and Medicine Manufacturing,60
29-1069,2009-05-01,524100,Insurance Carriers,130
29-1069,2009-05-01,541500,Computer Systems Design and Related Services,30
29-1069,2009-05-01,541600,"Management, Scientific, and Technical Consulting Services",0
29-1069,2009-05-01,541700,Scientific Research and Development Services,960
29-1069,2009-05-01,551100,Management of Companies and Enterprises,530
29-1069,2009-05-01,561100,Office Administrative Services,80
29-1069,2009-05-01,561200,Facilities Support Services,40
29-1069,2009-05-01,561300,Employment Services,520
29-1069,2009-05-01,611100,Elementary and Secondary Schools,70
29-1069,2009-05-01,611300,"Colleges, Universities, and Professional Schools",9240
29-1069,2009-05-01,621100,Offices of Physicians,142640
29-1069,2009-05-01,621200,Offices of Dentists,0
29-1069,2009-05-01,621300,Offices of Other Health Practitioners,2360
29-1069,2009-05-01,621400,Outpatient Care Centers,6930
29-1069,2009-05-01,621500,Medical and Diagnostic Laboratories,3990
29-1069,2009-05-01,621600,Home Health Care Services,230
29-1069,2009-05-01,621900,Other Ambulatory Health Care Services,730
29-1069,2009-05-01,622100,General Medical and Surgical Hospitals,71690
29-1069,2009-05-01,622200,Psychiatric and Substance Abuse Hospitals,620
29-1069,2009-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,2090
29-1069,2009-05-01,623100,Nursing Care Facilities,180
29-1069,2009-05-01,623200,"Residential Mental Retardation, Mental Health and Substance Abuse Facilities",40
29-1069,2009-05-01,624100,Individual and Family Services,60
29-1069,2009-05-01,812100,Personal Care Services,80
29-1069,2009-05-01,999100,Federal Executive Branch (OES Designation),27000
29-1069,2009-05-01,999200,State Government (OES Designation),1500
29-1069,2009-05-01,999300,Local Government (OES Designation),1570
29-1069,2010-05-01,325400,Pharmaceutical and Medicine Manufacturing,60
29-1069,2010-05-01,524100,Insurance Carriers,160
29-1069,2010-05-01,541500,Computer Systems Design and Related Services,40
29-1069,2010-05-01,541600,"Management, Scientific, and Technical Consulting Services",150
29-1069,2010-05-01,541700,Scientific Research and Development Services,880
29-1069,2010-05-01,541900,"Other Professional, Scientific, and Technical Services",0
29-1069,2010-05-01,551100,Management of Companies and Enterprises,400
29-1069,2010-05-01,561300,Employment Services,510
29-1069,2010-05-01,611100,Elementary and Secondary Schools,40
29-1069,2010-05-01,611300,"Colleges, Universities, and Professional Schools",11150
29-1069,2010-05-01,621100,Offices of Physicians,149030
29-1069,2010-05-01,621200,Offices of Dentists,330
29-1069,2010-05-01,621300,Offices of Other Health Practitioners,2020
29-1069,2010-05-01,621400,Outpatient Care Centers,10080
29-1069,2010-05-01,621500,Medical and Diagnostic Laboratories,4580
29-1069,2010-05-01,621600,Home Health Care Services,480
29-1069,2010-05-01,621900,Other Ambulatory Health Care Services,740
29-1069,2010-05-01,622100,General Medical and Surgical Hospitals,76400
29-1069,2010-05-01,622200,Psychiatric and Substance Abuse Hospitals,540
29-1069,2010-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,2570
29-1069,2010-05-01,623100,Nursing Care Facilities,90
29-1069,2010-05-01,623200,"Residential Mental Retardation, Mental Health and Substance Abuse Facilities",30
29-1069,2010-05-01,624100,Individual and Family Services,70
29-1069,2010-05-01,999100,Federal Executive Branch (OES Designation),28630
29-1069,2010-05-01,999200,State Government (OES Designation),1320
29-1069,2010-05-01,999300,Local Government (OES Designation),1470
29-1069,2011-05-01,446100,Health and Personal Care Stores,0
29-1069,2011-05-01,524100,Insurance Carriers,180
29-1069,2011-05-01,524200,"Agencies, Brokerages, and Other Insurance Related Activities",30
29-1069,2011-05-01,541500,Computer Systems Design and Related Services,30
29-1069,2011-05-01,541600,"Management, Scientific, and Technical Consulting Services",80
29-1069,2011-05-01,541700,Scientific Research and Development Services,650
29-1069,2011-05-01,541900,"Other Professional, Scientific, and Technical Services",0
29-1069,2011-05-01,551100,Management of Companies and Enterprises,450
29-1069,2011-05-01,561300,Employment Services,560
29-1069,2011-05-01,611100,Elementary and Secondary Schools,40
29-1069,2011-05-01,611300,"Colleges, Universities, and Professional Schools",13860
29-1069,2011-05-01,621100,Offices of Physicians,151900
29-1069,2011-05-01,621200,Offices of Dentists,150
29-1069,2011-05-01,621300,Offices of Other Health Practitioners,1980
29-1069,2011-05-01,621400,Outpatient Care Centers,9460
29-1069,2011-05-01,621500,Medical and Diagnostic Laboratories,5170
29-1069,2011-05-01,621600,Home Health Care Services,710
29-1069,2011-05-01,621900,Other Ambulatory Health Care Services,820
29-1069,2011-05-01,622100,General Medical and Surgical Hospitals,80760
29-1069,2011-05-01,622200,Psychiatric and Substance Abuse Hospitals,470
29-1069,2011-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,3230
29-1069,2011-05-01,623100,Nursing Care Facilities,60
29-1069,2011-05-01,624100,Individual and Family Services,80
29-1069,2011-05-01,999100,Federal Executive Branch (OES Designation),29820
29-1069,2011-05-01,999200,State Government (excluding schools and hospitals),1350
29-1069,2011-05-01,999300,Local Government (excluding schools and hospitals),1470
29-1069,2012-05-01,446100,Health and Personal Care Stores,50
29-1069,2012-05-01,524100,Insurance Carriers,210
29-1069,2012-05-01,541500,Computer Systems Design and Related Services,40
29-1069,2012-05-01,541600,"Management, Scientific, and Technical Consulting Services",50
29-1069,2012-05-01,541700,Scientific Research and Development Services,540
29-1069,2012-05-01,541900,"Other Professional, Scientific, and Technical Services",0
29-1069,2012-05-01,551100,Management of Companies and Enterprises,640
29-1069,2012-05-01,561300,Employment Services,980
29-1069,2012-05-01,611100,Elementary and Secondary Schools,30
29-1069,2012-05-01,611300,"Colleges, Universities, and Professional Schools",14020
29-1069,2012-05-01,611400,Business Schools and Computer and Management Training,40
29-1069,2012-05-01,621100,Offices of Physicians,146070
29-1069,2012-05-01,621200,Offices of Dentists,170
29-1069,2012-05-01,621300,Offices of Other Health Practitioners,1960
29-1069,2012-05-01,621400,Outpatient Care Centers,9790
29-1069,2012-05-01,621500,Medical and Diagnostic Laboratories,5630
29-1069,2012-05-01,621600,Home Health Care Services,780
29-1069,2012-05-01,621900,Other Ambulatory Health Care Services,640
29-1069,2012-05-01,622100,General Medical and Surgical Hospitals,87240
29-1069,2012-05-01,622200,Psychiatric and Substance Abuse Hospitals,530
29-1069,2012-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,2890
29-1069,2012-05-01,623100,Nursing Care Facilities (Skilled Nursing Facilities),40
29-1069,2012-05-01,624100,Individual and Family Services,140
29-1069,2012-05-01,999100,Federal Executive Branch (OES Designation),30240
29-1069,2012-05-01,999200,State Government (OES Designation),1310
29-1069,2012-05-01,999300,Local Government (OES Designation),1530
29-1069,2013-05-01,425100,Wholesale Electronic Markets and Agents and Brokers,0
29-1069,2013-05-01,446100,Health and Personal Care Stores,120
29-1069,2013-05-01,524100,Insurance Carriers,290
29-1069,2013-05-01,541500,Computer Systems Design and Related Services,0
29-1069,2013-05-01,541600,"Management, Scientific, and Technical Consulting Services",120
29-1069,2013-05-01,541700,Scientific Research and Development Services,610
29-1069,2013-05-01,541900,"Other Professional, Scientific, and Technical Services",0
29-1069,2013-05-01,551100,Management of Companies and Enterprises,630
29-1069,2013-05-01,561300,Employment Services,1070
29-1069,2013-05-01,611100,Elementary and Secondary Schools,110
29-1069,2013-05-01,611300,"Colleges, Universities, and Professional Schools",11130
29-1069,2013-05-01,611400,Business Schools and Computer and Management Training,60
29-1069,2013-05-01,621100,Offices of Physicians,142880
29-1069,2013-05-01,621200,Offices of Dentists,160
29-1069,2013-05-01,621300,Offices of Other Health Practitioners,2140
29-1069,2013-05-01,621400,Outpatient Care Centers,9580
29-1069,2013-05-01,621500,Medical and Diagnostic Laboratories,5090
29-1069,2013-05-01,621600,Home Health Care Services,600
29-1069,2013-05-01,621900,Other Ambulatory Health Care Services,950
29-1069,2013-05-01,622100,General Medical and Surgical Hospitals,91860
29-1069,2013-05-01,622200,Psychiatric and Substance Abuse Hospitals,620
29-1069,2013-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,3410
29-1069,2013-05-01,623100,Nursing Care Facilities (Skilled Nursing Facilities),60
29-1069,2013-05-01,624100,Individual and Family Services,130
29-1069,2013-05-01,999100,Federal Executive Branch (OES Designation),31290
29-1069,2013-05-01,999200,State Government (OES Designation),1450
29-1069,2013-05-01,999300,Local Government (OES Designation),1740
29-1069,2014-05-01,446100,Health and Personal Care Stores,0
29-1069,2014-05-01,524100,Insurance Carriers,220
29-1069,2014-05-01,532400,Commercial and Industrial Machinery and Equipment Rental and Leasing,50
29-1069,2014-05-01,541500,Computer Systems Design and Related Services,0
29-1069,2014-05-01,541600,"Management, Scientific, and Technical Consulting Services",110
29-1069,2014-05-01,541700,Scientific Research and Development Services,1050
29-1069,2014-05-01,551100,Management of Companies and Enterprises,450
29-1069,2014-05-01,561300,Employment Services,1180
29-1069,2014-05-01,611100,Elementary and Secondary Schools,120
29-1069,2014-05-01,611300,"Colleges, Universities, and Professional Schools",9840
29-1069,2014-05-01,611400,Business Schools and Computer and Management Training,100
29-1069,2014-05-01,621100,Offices of Physicians,140920
29-1069,2014-05-01,621200,Offices of Dentists,140
29-1069,2014-05-01,621300,Offices of Other Health Practitioners,1950
29-1069,2014-05-01,621400,Outpatient Care Centers,9800
29-1069,2014-05-01,621500,Medical and Diagnostic Laboratories,5070
29-1069,2014-05-01,621600,Home Health Care Services,600
29-1069,2014-05-01,621900,Other Ambulatory Health Care Services,910
29-1069,2014-05-01,622100,General Medical and Surgical Hospitals,97820
29-1069,2014-05-01,622200,Psychiatric and Substance Abuse Hospitals,620
29-1069,2014-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,3810
29-1069,2014-05-01,623100,Nursing Care Facilities (Skilled Nursing Facilities),130
29-1069,2014-05-01,624100,Individual and Family Services,120
29-1069,2014-05-01,999100,Federal Executive Branch (OES Designation),31990
29-1069,2014-05-01,999200,State Government (OES Designation),1620
29-1069,2014-05-01,999300,Local Government (OES Designation),1630
29-1069,2015-05-01,325400,Pharmaceutical and Medicine Manufacturing,100
29-1069,2015-05-01,446100,Health and Personal Care Stores,0
29-1069,2015-05-01,524100,Insurance Carriers,270
29-1069,2015-05-01,524200,"Agencies, Brokerages, and Other Insurance Related Activities",50
29-1069,2015-05-01,532400,Commercial and Industrial Machinery and Equipment Rental and Leasing,40
29-1069,2015-05-01,541600,"Management, Scientific, and Technical Consulting Services",160
29-1069,2015-05-01,541700,Scientific Research and Development Services,1000
29-1069,2015-05-01,541900,"Other Professional, Scientific, and Technical Services",0
29-1069,2015-05-01,551100,Management of Companies and Enterprises,240
29-1069,2015-05-01,561100,Office Administrative Services,40
29-1069,2015-05-01,561300,Employment Services,880
29-1069,2015-05-01,611100,Elementary and Secondary Schools,90
29-1069,2015-05-01,611300,"Colleges, Universities, and Professional Schools",13040
29-1069,2015-05-01,621100,Offices of Physicians,150270
29-1069,2015-05-01,621200,Offices of Dentists,0
29-1069,2015-05-01,621300,Offices of Other Health Practitioners,1930
29-1069,2015-05-01,621400,Outpatient Care Centers,10080
29-1069,2015-05-01,621500,Medical and Diagnostic Laboratories,5600
29-1069,2015-05-01,621600,Home Health Care Services,530
29-1069,2015-05-01,621900,Other Ambulatory Health Care Services,1070
29-1069,2015-05-01,622100,General Medical and Surgical Hospitals,95540
29-1069,2015-05-01,622200,Psychiatric and Substance Abuse Hospitals,630
29-1069,2015-05-01,622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,4080
29-1069,2015-05-01,623100,Nursing Care Facilities (Skilled Nursing Facilities),140
29-1069,2015-05-01,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",50
29-1069,2015-05-01,624100,Individual and Family Services,90
29-1069,2015-05-01,711200,Spectator Sports,0
29-1069,2015-05-01,813200,Grantmaking and Giving Services,70
29-1069,2015-05-01,999100,Federal Executive Branch (OES Designation),32970
29-1069,2015-05-01,999200,State Government (OES Designation),1720
29-1069,2015-05-01,999300,Local Government (OES Designation),1370
29-1069,2016-05-01,325400,Pharmaceutical and Medicine Manufacturing,120
29-1069,2016-05-01,524100,Insurance Carriers,210
29-1069,2016-05-01,524200,"Agencies, Brokerages, and Other Insurance Related Activities",60
