OCC_CODE,REPORT_DATE,NAICS,NAICS_TITLE,TOT_EMP
29-1111,2002-05-01,211100,Oil and Gas Extraction,50
29-1111,2002-05-01,221100,"Electric Power Generation, Transmission and Distribution",70
29-1111,2002-05-01,311600,Animal Slaughtering and Processing,240
29-1111,2002-05-01,313200,Fabric Mills,40
29-1111,2002-05-01,322100,"Pulp, Paper, and Paperboard Mills",140
29-1111,2002-05-01,322200,Converted Paper Product Manufacturing,70
29-1111,2002-05-01,324100,Petroleum and Coal Products Manufacturing,60
29-1111,2002-05-01,325100,Basic Chemical Manufacturing,150
29-1111,2002-05-01,325200,"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",80
29-1111,2002-05-01,325300,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",40
21-1022,2002-05-01,325400,Pharmaceutical and Medicine Manufacturing,0
29-1051,2002-05-01,325400,Pharmaceutical and Medicine Manufacturing,360
29-1111,2002-05-01,325400,Pharmaceutical and Medicine Manufacturing,310
29-1111,2002-05-01,326100,Plastics Product Manufacturing,40
29-1111,2002-05-01,331500,Foundries,50
29-1111,2002-05-01,332900,Other Fabricated Metal Product Manufacturing,70
29-1111,2002-05-01,333100,"Agriculture, Construction, and Mining Machinery Manufacturing",60
29-1111,2002-05-01,333300,Commercial and Service Industry Machinery Manufacturing,0
29-1111,2002-05-01,334400,Semiconductor and Other Electronic Component Manufacturing,140
29-1111,2002-05-01,334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",120
29-1111,2002-05-01,336400,Aerospace Product and Parts Manufacturing,90
29-1111,2002-05-01,337100,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,40
29-1111,2002-05-01,339100,Medical Equipment and Supplies Manufacturing,30
29-1051,2002-05-01,423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,200
29-1111,2002-05-01,423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,160
29-1051,2002-05-01,424200,Drugs and Druggists' Sundries Merchant Wholesalers,4670
29-1111,2002-05-01,424200,Drugs and Druggists' Sundries Merchant Wholesalers,250
29-1051,2002-05-01,425100,Wholesale Electronic Markets and Agents and Brokers,210
29-1111,2002-05-01,425100,Wholesale Electronic Markets and Agents and Brokers,170
29-1051,2002-05-01,445100,Grocery Stores,19150
29-1051,2002-05-01,446100,Health and Personal Care Stores,94850
29-1111,2002-05-01,446100,Health and Personal Care Stores,1660
29-1051,2002-05-01,447100,Gasoline Stations,30
29-1051,2002-05-01,454100,Electronic Shopping and Mail-Order Houses,2020
29-1051,2002-05-01,454300,Direct Selling Establishments,0
29-1051,2002-05-01,484100,General Freight Trucking,70
29-1111,2002-05-01,485900,Other Transit and Ground Passenger Transportation,50
29-1051,2002-05-01,493100,Warehousing and Storage,370
29-1111,2002-05-01,493100,Warehousing and Storage,40
29-1111,2002-05-01,511100,"Newspaper, Periodical, Book, and Directory Publishers",40
29-1111,2002-05-01,522200,Nondepository Credit Intermediation,50
29-1111,2002-05-01,522300,Activities Related to Credit Intermediation,140
29-1111,2002-05-01,523900,Other Financial Investment Activities,70
21-1022,2002-05-01,524100,Insurance Carriers,500
29-1051,2002-05-01,524100,Insurance Carriers,720
29-1062,2002-05-01,524100,Insurance Carriers,90
29-1063,2002-05-01,524100,Insurance Carriers,180
29-1111,2002-05-01,524100,Insurance Carriers,11800
21-1022,2002-05-01,524200,"Agencies, Brokerages, and Other Insurance Related Activities",0
21-1023,2002-05-01,524200,"Agencies, Brokerages, and Other Insurance Related Activities",100
29-1051,2002-05-01,524200,"Agencies, Brokerages, and Other Insurance Related Activities",70
29-1063,2002-05-01,524200,"Agencies, Brokerages, and Other Insurance Related Activities",0
29-1111,2002-05-01,524200,"Agencies, Brokerages, and Other Insurance Related Activities",3370
29-1111,2002-05-01,525100,Insurance and Employee Benefit Funds,350
21-1021,2002-05-01,531100,Lessors of Real Estate,160
21-1022,2002-05-01,531100,Lessors of Real Estate,60
29-1111,2002-05-01,531100,Lessors of Real Estate,1510
29-1111,2002-05-01,531200,Offices of Real Estate Agents and Brokers,50
21-1021,2002-05-01,531300,Activities Related to Real Estate,0
29-1111,2002-05-01,531300,Activities Related to Real Estate,180
29-1051,2002-05-01,532200,Consumer Goods Rental,220
29-1111,2002-05-01,532200,Consumer Goods Rental,1030
21-1021,2002-05-01,541100,Legal Services,60
29-1111,2002-05-01,541100,Legal Services,390
21-1021,2002-05-01,541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",280
21-1022,2002-05-01,541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",310
29-1051,2002-05-01,541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",120
29-1111,2002-05-01,541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",3690
29-1111,2002-05-01,541300,"Architectural, Engineering, and Related Services",680
29-1111,2002-05-01,541500,Computer Systems Design and Related Services,300
21-1021,2002-05-01,541600,"Management, Scientific, and Technical Consulting Services",150
21-1022,2002-05-01,541600,"Management, Scientific, and Technical Consulting Services",90
21-1023,2002-05-01,541600,"Management, Scientific, and Technical Consulting Services",150
29-1051,2002-05-01,541600,"Management, Scientific, and Technical Consulting Services",360
29-1062,2002-05-01,541600,"Management, Scientific, and Technical Consulting Services",90
29-1071,2002-05-01,541600,"Management, Scientific, and Technical Consulting Services",0
29-1111,2002-05-01,541600,"Management, Scientific, and Technical Consulting Services",4170
21-1022,2002-05-01,541700,Scientific Research and Development Services,400
29-1051,2002-05-01,541700,Scientific Research and Development Services,30
29-1062,2002-05-01,541700,Scientific Research and Development Services,60
29-1066,2002-05-01,541700,Scientific Research and Development Services,130
29-1071,2002-05-01,541700,Scientific Research and Development Services,140
29-1111,2002-05-01,541700,Scientific Research and Development Services,4000
21-1021,2002-05-01,541900,"Other Professional, Scientific, and Technical Services",0
29-1111,2002-05-01,541900,"Other Professional, Scientific, and Technical Services",0
21-1021,2002-05-01,551100,Management of Companies and Enterprises,4280
21-1022,2002-05-01,551100,Management of Companies and Enterprises,630
21-1023,2002-05-01,551100,Management of Companies and Enterprises,1310
29-1051,2002-05-01,551100,Management of Companies and Enterprises,500
29-1062,2002-05-01,551100,Management of Companies and Enterprises,290
29-1063,2002-05-01,551100,Management of Companies and Enterprises,0
29-1065,2002-05-01,551100,Management of Companies and Enterprises,40
29-1066,2002-05-01,551100,Management of Companies and Enterprises,160
29-1067,2002-05-01,551100,Management of Companies and Enterprises,0
29-1071,2002-05-01,551100,Management of Companies and Enterprises,310
29-1111,2002-05-01,551100,Management of Companies and Enterprises,5590
21-1022,2002-05-01,561100,Office Administrative Services,320
21-1023,2002-05-01,561100,Office Administrative Services,260
29-1051,2002-05-01,561100,Office Administrative Services,310
29-1062,2002-05-01,561100,Office Administrative Services,320
29-1071,2002-05-01,561100,Office Administrative Services,0
29-1111,2002-05-01,561100,Office Administrative Services,6120
21-1021,2002-05-01,561200,Facilities Support Services,50
21-1023,2002-05-01,561200,Facilities Support Services,780
29-1111,2002-05-01,561200,Facilities Support Services,740
21-1021,2002-05-01,561300,Employment Services,180
21-1022,2002-05-01,561300,Employment Services,200
21-1023,2002-05-01,561300,Employment Services,180
29-1051,2002-05-01,561300,Employment Services,1310
29-1062,2002-05-01,561300,Employment Services,320
29-1071,2002-05-01,561300,Employment Services,0
29-1111,2002-05-01,561300,Employment Services,67020
29-1111,2002-05-01,561400,Business Support Services,350
29-1111,2002-05-01,561700,Services to Buildings and Dwellings,80
29-1111,2002-05-01,561900,Other Support Services,300
21-1021,2002-05-01,611100,Elementary and Secondary Schools,33460
21-1022,2002-05-01,611100,Elementary and Secondary Schools,110
21-1023,2002-05-01,611100,Elementary and Secondary Schools,590
29-1062,2002-05-01,611100,Elementary and Secondary Schools,140
29-1066,2002-05-01,611100,Elementary and Secondary Schools,120
29-1111,2002-05-01,611100,Elementary and Secondary Schools,43180
21-1021,2002-05-01,611200,Junior Colleges,760
29-1111,2002-05-01,611200,Junior Colleges,530
21-1021,2002-05-01,611300,"Colleges, Universities, and Professional Schools",1100
21-1022,2002-05-01,611300,"Colleges, Universities, and Professional Schools",540
21-1023,2002-05-01,611300,"Colleges, Universities, and Professional Schools",130
29-1051,2002-05-01,611300,"Colleges, Universities, and Professional Schools",1000
29-1061,2002-05-01,611300,"Colleges, Universities, and Professional Schools",300
29-1062,2002-05-01,611300,"Colleges, Universities, and Professional Schools",6080
29-1063,2002-05-01,611300,"Colleges, Universities, and Professional Schools",380
29-1064,2002-05-01,611300,"Colleges, Universities, and Professional Schools",390
29-1065,2002-05-01,611300,"Colleges, Universities, and Professional Schools",810
29-1066,2002-05-01,611300,"Colleges, Universities, and Professional Schools",280
29-1067,2002-05-01,611300,"Colleges, Universities, and Professional Schools",680
29-1071,2002-05-01,611300,"Colleges, Universities, and Professional Schools",1120
29-1111,2002-05-01,611300,"Colleges, Universities, and Professional Schools",28050
21-1021,2002-05-01,611400,Business Schools and Computer and Management Training,180
29-1111,2002-05-01,611400,Business Schools and Computer and Management Training,90
21-1021,2002-05-01,611500,Technical and Trade Schools,60
29-1111,2002-05-01,611500,Technical and Trade Schools,110
21-1021,2002-05-01,611600,Other Schools and Instruction,150
21-1022,2002-05-01,611600,Other Schools and Instruction,30
29-1111,2002-05-01,611600,Other Schools and Instruction,240
21-1021,2002-05-01,611700,Educational Support Services,190
21-1023,2002-05-01,611700,Educational Support Services,70
29-1111,2002-05-01,611700,Educational Support Services,60
21-1021,2002-05-01,621100,Offices of Physicians,970
21-1022,2002-05-01,621100,Offices of Physicians,3150
21-1023,2002-05-01,621100,Offices of Physicians,1650
29-1051,2002-05-01,621100,Offices of Physicians,4720
29-1061,2002-05-01,621100,Offices of Physicians,20090
29-1062,2002-05-01,621100,Offices of Physicians,72780
29-1063,2002-05-01,621100,Offices of Physicians,35730
29-1064,2002-05-01,621100,Offices of Physicians,16650
29-1065,2002-05-01,621100,Offices of Physicians,20750
29-1066,2002-05-01,621100,Offices of Physicians,4410
29-1067,2002-05-01,621100,Offices of Physicians,43960
29-1071,2002-05-01,621100,Offices of Physicians,33800
29-1111,2002-05-01,621100,Offices of Physicians,201580
29-1061,2002-05-01,621200,Offices of Dentists,0
29-1062,2002-05-01,621200,Offices of Dentists,60
29-1067,2002-05-01,621200,Offices of Dentists,0
29-1071,2002-05-01,621200,Offices of Dentists,700
29-1111,2002-05-01,621200,Offices of Dentists,1570
21-1021,2002-05-01,621300,Offices of Other Health Practitioners,1050
21-1022,2002-05-01,621300,Offices of Other Health Practitioners,1560
21-1023,2002-05-01,621300,Offices of Other Health Practitioners,2740
29-1051,2002-05-01,621300,Offices of Other Health Practitioners,170
29-1061,2002-05-01,621300,Offices of Other Health Practitioners,170
29-1062,2002-05-01,621300,Offices of Other Health Practitioners,800
29-1063,2002-05-01,621300,Offices of Other Health Practitioners,210
29-1065,2002-05-01,621300,Offices of Other Health Practitioners,100
29-1066,2002-05-01,621300,Offices of Other Health Practitioners,1050
29-1067,2002-05-01,621300,Offices of Other Health Practitioners,490
29-1071,2002-05-01,621300,Offices of Other Health Practitioners,1330
29-1111,2002-05-01,621300,Offices of Other Health Practitioners,11080
21-1021,2002-05-01,621400,Outpatient Care Centers,5760
21-1022,2002-05-01,621400,Outpatient Care Centers,6410
21-1023,2002-05-01,621400,Outpatient Care Centers,15740
29-1051,2002-05-01,621400,Outpatient Care Centers,1810
29-1061,2002-05-01,621400,Outpatient Care Centers,520
29-1062,2002-05-01,621400,Outpatient Care Centers,4720
29-1063,2002-05-01,621400,Outpatient Care Centers,2040
29-1064,2002-05-01,621400,Outpatient Care Centers,420
29-1065,2002-05-01,621400,Outpatient Care Centers,650
29-1066,2002-05-01,621400,Outpatient Care Centers,2630
29-1067,2002-05-01,621400,Outpatient Care Centers,640
29-1071,2002-05-01,621400,Outpatient Care Centers,3010
29-1111,2002-05-01,621400,Outpatient Care Centers,52110
21-1022,2002-05-01,621500,Medical and Diagnostic Laboratories,0
29-1062,2002-05-01,621500,Medical and Diagnostic Laboratories,340
29-1063,2002-05-01,621500,Medical and Diagnostic Laboratories,200
29-1067,2002-05-01,621500,Medical and Diagnostic Laboratories,60
29-1071,2002-05-01,621500,Medical and Diagnostic Laboratories,200
29-1111,2002-05-01,621500,Medical and Diagnostic Laboratories,1480
21-1021,2002-05-01,621600,Home Health Care Services,1130
21-1022,2002-05-01,621600,Home Health Care Services,6680
21-1023,2002-05-01,621600,Home Health Care Services,410
29-1051,2002-05-01,621600,Home Health Care Services,2050
29-1063,2002-05-01,621600,Home Health Care Services,110
29-1067,2002-05-01,621600,Home Health Care Services,0
29-1071,2002-05-01,621600,Home Health Care Services,220
29-1111,2002-05-01,621600,Home Health Care Services,114950
21-1021,2002-05-01,621900,Other Ambulatory Health Care Services,60
21-1022,2002-05-01,621900,Other Ambulatory Health Care Services,200
21-1023,2002-05-01,621900,Other Ambulatory Health Care Services,150
29-1062,2002-05-01,621900,Other Ambulatory Health Care Services,280
29-1063,2002-05-01,621900,Other Ambulatory Health Care Services,90
29-1067,2002-05-01,621900,Other Ambulatory Health Care Services,30
29-1071,2002-05-01,621900,Other Ambulatory Health Care Services,210
29-1111,2002-05-01,621900,Other Ambulatory Health Care Services,8570
21-1021,2002-05-01,622100,General Medical and Surgical Hospitals,4360
21-1022,2002-05-01,622100,General Medical and Surgical Hospitals,29160
21-1023,2002-05-01,622100,General Medical and Surgical Hospitals,6200
29-1051,2002-05-01,622100,General Medical and Surgical Hospitals,47830
29-1061,2002-05-01,622100,General Medical and Surgical Hospitals,3260
29-1062,2002-05-01,622100,General Medical and Surgical Hospitals,20370
29-1063,2002-05-01,622100,General Medical and Surgical Hospitals,9750
29-1064,2002-05-01,622100,General Medical and Surgical Hospitals,2190
