OCC_CODE,REPORT_DATE,AREA,AREA_TITLE,NAICS,VALUE
29-1051,2020-05-01,1,Alabama,42,127540
29-1141,2020-05-01,1,Alabama,42,60460
29-1051,2020-05-01,4,Arizona,42,124970
29-1141,2020-05-01,4,Arizona,42,87540
29-1051,2020-05-01,6,California,42,145150
29-1141,2020-05-01,6,California,42,101700
29-1051,2020-05-01,8,Colorado,42,118450
29-1051,2020-05-01,9,Connecticut,42,126800
29-1141,2020-05-01,9,Connecticut,42,82140
29-1051,2020-05-01,12,Florida,42,123920
29-1141,2020-05-01,12,Florida,42,52770
29-1051,2020-05-01,13,Georgia,42,129860
29-1051,2020-05-01,16,Idaho,42,129840
29-1051,2020-05-01,17,Illinois,42,117210
29-1141,2020-05-01,17,Illinois,42,74790
29-1051,2020-05-01,18,Indiana,42,127030
29-1051,2020-05-01,19,Iowa,42,120350
29-1051,2020-05-01,20,Kansas,42,125530
29-1051,2020-05-01,21,Kentucky,42,124140
29-1141,2020-05-01,21,Kentucky,42,73020
29-1051,2020-05-01,22,Louisiana,42,139960
29-1051,2020-05-01,23,Maine,42,137330
29-1051,2020-05-01,24,Maryland,42,123070
29-1051,2020-05-01,25,Massachusetts,42,127550
29-1051,2020-05-01,29,Missouri,42,134670
29-1051,2020-05-01,31,Nebraska,42,138700
29-1051,2020-05-01,32,Nevada,42,123000
29-1051,2020-05-01,34,New Jersey,42,123300
29-1141,2020-05-01,34,New Jersey,42,67510
29-1051,2020-05-01,36,New York,42,135120
29-1051,2020-05-01,37,North Carolina,42,128060
29-1141,2020-05-01,37,North Carolina,42,68440
29-1051,2020-05-01,39,Ohio,42,125440
29-1051,2020-05-01,40,Oklahoma,42,125210
29-1051,2020-05-01,41,Oregon,42,128250
29-1141,2020-05-01,41,Oregon,42,98050
29-1051,2020-05-01,42,Pennsylvania,42,124130
29-1141,2020-05-01,42,Pennsylvania,42,76790
29-1051,2020-05-01,45,South Carolina,42,121800
29-1051,2020-05-01,47,Tennessee,42,123150
29-1051,2020-05-01,48,Texas,42,128800
29-1141,2020-05-01,48,Texas,42,79870
29-1051,2020-05-01,51,Virginia,42,165970
29-1141,2020-05-01,51,Virginia,42,72380
29-1051,2020-05-01,53,Washington,42,142450
29-1051,2020-05-01,55,Wisconsin,42,135210
29-1051,2020-05-01,72,Puerto Rico,42,96350
29-1141,2020-05-01,6,California,51,105840
29-1051,2020-05-01,1,Alabama,52,121620
29-1141,2020-05-01,1,Alabama,52,63180
21-1022,2020-05-01,4,Arizona,52,52890
29-1051,2020-05-01,4,Arizona,52,127380
29-1141,2020-05-01,4,Arizona,52,80410
29-1141,2020-05-01,5,Arkansas,52,71690
21-1022,2020-05-01,6,California,52,77360
29-1051,2020-05-01,6,California,52,158720
29-1141,2020-05-01,6,California,52,103840
29-1051,2020-05-01,8,Colorado,52,135310
29-1141,2020-05-01,8,Colorado,52,76820
21-1022,2020-05-01,9,Connecticut,52,65770
29-1171,2020-05-01,9,Connecticut,52,129260
29-1141,2020-05-01,10,Delaware,52,78460
29-1141,2020-05-01,11,District of Columbia,52,92990
21-1022,2020-05-01,12,Florida,52,58640
29-1051,2020-05-01,12,Florida,52,122950
29-1141,2020-05-01,12,Florida,52,73050
21-1022,2020-05-01,13,Georgia,52,74230
29-1141,2020-05-01,13,Georgia,52,79510
21-1022,2020-05-01,15,Hawaii,52,78480
29-1141,2020-05-01,15,Hawaii,52,91810
29-1141,2020-05-01,16,Idaho,52,70890
21-1022,2020-05-01,17,Illinois,52,60160
29-1141,2020-05-01,17,Illinois,52,74650
21-1022,2020-05-01,18,Indiana,52,68170
29-1141,2020-05-01,18,Indiana,52,73100
21-1022,2020-05-01,19,Iowa,52,57250
29-1141,2020-05-01,19,Iowa,52,65280
29-1171,2020-05-01,19,Iowa,52,110930
21-1022,2020-05-01,20,Kansas,52,55930
29-1051,2020-05-01,20,Kansas,52,128330
29-1141,2020-05-01,20,Kansas,52,70690
21-1022,2020-05-01,21,Kentucky,52,48400
29-1141,2020-05-01,21,Kentucky,52,68080
29-1141,2020-05-01,22,Louisiana,52,71310
29-1141,2020-05-01,23,Maine,52,78870
29-1171,2020-05-01,24,Maryland,52,120710
29-1051,2020-05-01,25,Massachusetts,52,121840
29-1141,2020-05-01,25,Massachusetts,52,92750
21-1022,2020-05-01,26,Michigan,52,60790
29-1051,2020-05-01,26,Michigan,52,125860
29-1141,2020-05-01,26,Michigan,52,74800
21-1022,2020-05-01,27,Minnesota,52,69160
29-1051,2020-05-01,27,Minnesota,52,131240
29-1141,2020-05-01,27,Minnesota,52,78300
29-1171,2020-05-01,27,Minnesota,52,122130
29-1141,2020-05-01,28,Mississippi,52,59130
21-1022,2020-05-01,29,Missouri,52,64240
29-1051,2020-05-01,29,Missouri,52,129070
29-1141,2020-05-01,29,Missouri,52,75670
29-1141,2020-05-01,30,Montana,52,82090
29-1051,2020-05-01,31,Nebraska,52,112470
29-1141,2020-05-01,31,Nebraska,52,73090
29-1141,2020-05-01,32,Nevada,52,79410
29-1141,2020-05-01,33,New Hampshire,52,81860
21-1022,2020-05-01,34,New Jersey,52,58530
21-1023,2020-05-01,34,New Jersey,52,75590
29-1051,2020-05-01,34,New Jersey,52,121180
29-1141,2020-05-01,34,New Jersey,52,87560
29-1171,2020-05-01,34,New Jersey,52,112440
21-1022,2020-05-01,35,New Mexico,52,95490
29-1051,2020-05-01,35,New Mexico,52,124620
29-1141,2020-05-01,35,New Mexico,52,78760
21-1022,2020-05-01,36,New York,52,79710
29-1051,2020-05-01,36,New York,52,124250
29-1141,2020-05-01,36,New York,52,86250
29-1171,2020-05-01,36,New York,52,127940
21-1022,2020-05-01,37,North Carolina,52,77120
29-1141,2020-05-01,37,North Carolina,52,75160
29-1141,2020-05-01,38,North Dakota,52,73090
21-1022,2020-05-01,39,Ohio,52,66410
29-1051,2020-05-01,39,Ohio,52,127100
29-1141,2020-05-01,39,Ohio,52,75770
29-1051,2020-05-01,40,Oklahoma,52,119480
21-1022,2020-05-01,41,Oregon,52,73000
29-1051,2020-05-01,41,Oregon,52,153180
29-1141,2020-05-01,41,Oregon,52,99410
21-1022,2020-05-01,42,Pennsylvania,52,58610
29-1051,2020-05-01,42,Pennsylvania,52,122960
29-1141,2020-05-01,42,Pennsylvania,52,76870
29-1141,2020-05-01,44,Rhode Island,52,78790
29-1141,2020-05-01,45,South Carolina,52,70060
29-1051,2020-05-01,46,South Dakota,52,125930
21-1022,2020-05-01,47,Tennessee,52,66140
29-1051,2020-05-01,47,Tennessee,52,130410
29-1141,2020-05-01,47,Tennessee,52,68790
29-1171,2020-05-01,47,Tennessee,52,67280
21-1022,2020-05-01,48,Texas,52,57570
21-1023,2020-05-01,48,Texas,52,55470
29-1051,2020-05-01,48,Texas,52,126070
29-1141,2020-05-01,48,Texas,52,77890
29-1171,2020-05-01,48,Texas,52,96690
21-1022,2020-05-01,49,Utah,52,72230
29-1141,2020-05-01,49,Utah,52,77660
21-1022,2020-05-01,51,Virginia,52,53520
29-1141,2020-05-01,51,Virginia,52,75540
29-1171,2020-05-01,51,Virginia,52,102910
21-1022,2020-05-01,53,Washington,52,74340
29-1051,2020-05-01,53,Washington,52,128370
29-1141,2020-05-01,53,Washington,52,83300
29-1141,2020-05-01,54,West Virginia,52,62340
29-1141,2020-05-01,55,Wisconsin,52,74610
29-1171,2020-05-01,55,Wisconsin,52,111050
21-1022,2020-05-01,72,Puerto Rico,52,36010
29-1141,2020-05-01,72,Puerto Rico,52,36900
29-1141,2020-05-01,1,Alabama,53,48780
29-1141,2020-05-01,29,Missouri,53,58590
29-1141,2020-05-01,36,New York,53,61920
29-1141,2020-05-01,51,Virginia,53,57150
21-1021,2020-05-01,72,Puerto Rico,53,23940
21-1029,2020-05-01,72,Puerto Rico,53,22170
29-1141,2020-05-01,1,Alabama,54,60710
29-1141,2020-05-01,4,Arizona,54,84310
21-1023,2020-05-01,6,California,54,62510
29-1141,2020-05-01,6,California,54,101620
29-1171,2020-05-01,6,California,54,129770
21-1022,2020-05-01,8,Colorado,54,63770
29-1141,2020-05-01,8,Colorado,54,75280
29-1141,2020-05-01,9,Connecticut,54,69670
21-1022,2020-05-01,12,Florida,54,56990
21-1029,2020-05-01,12,Florida,54,57730
