OCC_CODE,REPORT_DATE,NAICS,VALUE
29-1111,2002-05-01,211100,49610
29-1111,2002-05-01,221100,54960
29-1111,2002-05-01,311600,36760
29-1111,2002-05-01,313200,42230
29-1111,2002-05-01,322100,47880
29-1111,2002-05-01,322200,47750
29-1111,2002-05-01,324100,55710
29-1111,2002-05-01,325100,54080
29-1111,2002-05-01,325200,50840
29-1111,2002-05-01,325300,50680
21-1022,2002-05-01,325400,48590
29-1051,2002-05-01,325400,70180
29-1111,2002-05-01,325400,50810
29-1111,2002-05-01,326100,47540
29-1111,2002-05-01,331500,44150
29-1111,2002-05-01,332900,48690
29-1111,2002-05-01,333100,35940
29-1111,2002-05-01,333300,48410
29-1111,2002-05-01,334400,47260
29-1111,2002-05-01,334500,51380
29-1111,2002-05-01,336400,48640
29-1111,2002-05-01,337100,44360
29-1111,2002-05-01,339100,49480
29-1051,2002-05-01,423400,69770
29-1111,2002-05-01,423400,47490
29-1051,2002-05-01,424200,73530
29-1111,2002-05-01,424200,48040
29-1051,2002-05-01,425100,72480
29-1111,2002-05-01,425100,53540
29-1051,2002-05-01,445100,78270
29-1051,2002-05-01,446100,76800
29-1111,2002-05-01,446100,46500
29-1051,2002-05-01,447100,81620
29-1051,2002-05-01,454100,76420
29-1051,2002-05-01,454300,78050
29-1051,2002-05-01,484100,76140
29-1111,2002-05-01,485900,42300
29-1051,2002-05-01,493100,85610
29-1111,2002-05-01,493100,44530
29-1111,2002-05-01,511100,49820
29-1111,2002-05-01,522200,50310
29-1111,2002-05-01,522300,53110
29-1111,2002-05-01,523900,48440
21-1022,2002-05-01,524100,48430
29-1051,2002-05-01,524100,78460
29-1062,2002-05-01,524100,0
29-1063,2002-05-01,524100,133960
29-1111,2002-05-01,524100,49090
21-1022,2002-05-01,524200,57450
21-1023,2002-05-01,524200,46690
29-1051,2002-05-01,524200,83180
29-1063,2002-05-01,524200,118870
29-1111,2002-05-01,524200,47870
29-1111,2002-05-01,525100,49660
21-1021,2002-05-01,531100,27130
21-1022,2002-05-01,531100,31430
29-1111,2002-05-01,531100,43370
29-1111,2002-05-01,531200,39320
21-1021,2002-05-01,531300,29140
29-1111,2002-05-01,531300,39300
29-1051,2002-05-01,532200,65190
29-1111,2002-05-01,532200,38390
21-1021,2002-05-01,541100,40330
29-1111,2002-05-01,541100,45570
21-1021,2002-05-01,541200,30850
21-1022,2002-05-01,541200,39800
29-1051,2002-05-01,541200,73400
29-1111,2002-05-01,541200,53140
29-1111,2002-05-01,541300,53210
29-1111,2002-05-01,541500,50530
21-1021,2002-05-01,541600,35650
21-1022,2002-05-01,541600,35180
21-1023,2002-05-01,541600,39310
29-1051,2002-05-01,541600,78260
29-1062,2002-05-01,541600,124750
29-1071,2002-05-01,541600,69350
29-1111,2002-05-01,541600,51340
21-1022,2002-05-01,541700,34380
29-1051,2002-05-01,541700,73310
29-1062,2002-05-01,541700,115440
29-1066,2002-05-01,541700,97450
29-1071,2002-05-01,541700,69510
29-1111,2002-05-01,541700,51990
21-1021,2002-05-01,541900,28340
29-1111,2002-05-01,541900,49960
21-1021,2002-05-01,551100,30060
21-1022,2002-05-01,551100,32740
21-1023,2002-05-01,551100,32220
29-1051,2002-05-01,551100,79260
29-1062,2002-05-01,551100,110760
29-1063,2002-05-01,551100,104880
29-1065,2002-05-01,551100,115360
29-1066,2002-05-01,551100,127710
29-1067,2002-05-01,551100,0
29-1071,2002-05-01,551100,61270
29-1111,2002-05-01,551100,48810
21-1022,2002-05-01,561100,33780
21-1023,2002-05-01,561100,40150
29-1051,2002-05-01,561100,72790
29-1062,2002-05-01,561100,120000
29-1071,2002-05-01,561100,72260
29-1111,2002-05-01,561100,52040
21-1021,2002-05-01,561200,29830
21-1023,2002-05-01,561200,27130
29-1111,2002-05-01,561200,40380
21-1021,2002-05-01,561300,31250
21-1022,2002-05-01,561300,34140
21-1023,2002-05-01,561300,46910
29-1051,2002-05-01,561300,72140
29-1062,2002-05-01,561300,92060
29-1071,2002-05-01,561300,68520
29-1111,2002-05-01,561300,55980
29-1111,2002-05-01,561400,58760
29-1111,2002-05-01,561700,40500
29-1111,2002-05-01,561900,61130
21-1021,2002-05-01,611100,44100
21-1022,2002-05-01,611100,38130
21-1023,2002-05-01,611100,36660
29-1062,2002-05-01,611100,59410
29-1066,2002-05-01,611100,86370
29-1111,2002-05-01,611100,38680
21-1021,2002-05-01,611200,36200
29-1111,2002-05-01,611200,45980
21-1021,2002-05-01,611300,38990
21-1022,2002-05-01,611300,42570
21-1023,2002-05-01,611300,32270
29-1051,2002-05-01,611300,67640
29-1061,2002-05-01,611300,62220
29-1062,2002-05-01,611300,65510
29-1063,2002-05-01,611300,63750
29-1064,2002-05-01,611300,91120
29-1065,2002-05-01,611300,67420
29-1066,2002-05-01,611300,56700
29-1067,2002-05-01,611300,84640
29-1071,2002-05-01,611300,63850
29-1111,2002-05-01,611300,45420
21-1021,2002-05-01,611400,35180
29-1111,2002-05-01,611400,37370
21-1021,2002-05-01,611500,34060
29-1111,2002-05-01,611500,49350
21-1021,2002-05-01,611600,38950
21-1022,2002-05-01,611600,38800
29-1111,2002-05-01,611600,42630
21-1021,2002-05-01,611700,39000
21-1023,2002-05-01,611700,25110
29-1111,2002-05-01,611700,48130
21-1021,2002-05-01,621100,30620
21-1022,2002-05-01,621100,34350
21-1023,2002-05-01,621100,35280
29-1051,2002-05-01,621100,79760
29-1061,2002-05-01,621100,0
29-1062,2002-05-01,621100,141620
29-1063,2002-05-01,621100,0
29-1064,2002-05-01,621100,0
29-1065,2002-05-01,621100,137240
29-1066,2002-05-01,621100,139960
29-1067,2002-05-01,621100,0
29-1071,2002-05-01,621100,64170
29-1111,2002-05-01,621100,44870
29-1061,2002-05-01,621200,136440
29-1062,2002-05-01,621200,109340
29-1067,2002-05-01,621200,0
29-1071,2002-05-01,621200,48740
29-1111,2002-05-01,621200,42540
21-1021,2002-05-01,621300,36270
21-1022,2002-05-01,621300,34900
21-1023,2002-05-01,621300,36280
29-1051,2002-05-01,621300,78450
29-1061,2002-05-01,621300,138390
